num, numformat, bitwidth, exp_bits, mantissa_bits, quant_en, qbits, accuracy, top1conf, top2diff, ave_loss
1, adaptive_fp, 16, 7, 8, False, -1, 76.124000, 66.729865, 61.890306, 0.961680
2, adaptive_fp, 16, 3, 12, False, -1, 60.034000, 47.980269, 43.144813, 1.743265
3, adaptive_fp, 16, 5, 10, False, -1, 76.144000, 66.737749, 61.892148, 0.961577
4, adaptive_fp, 16, 4, 11, False, -1, 76.144000, 66.737682, 61.892309, 0.961572
5, adaptive_fp, 8, 3, 4, False, -1, 59.734000, 47.666846, 42.870153, 1.751221
6, adaptive_fp, 8, 5, 2, False, -1, 72.600000, 63.334757, 58.557375, 1.029790
7, adaptive_fp, 8, 6, 1, False, -1, 64.154000, 54.325094, 48.903767, 1.237033
8, adaptive_fp, 12, 5, 6, False, -1, 76.102000, 66.707056, 61.871365, 0.961779
9, adaptive_fp, 12, 2, 9, False, -1, 0.106000, 0.000529, 0.000062, 6.978996
10, adaptive_fp, 12, 3, 8, False, -1, 59.906000, 47.973950, 43.177004, 1.743042
11, adaptive_fp, 10, 4, 5, False, -1, 76.146000, 66.703800, 61.847143, 0.962687
12, adaptive_fp, 10, 2, 7, False, -1, 0.180000, 0.000881, 0.000076, 6.980692
13, adaptive_fp, 10, 3, 6, False, -1, 59.986000, 47.935606, 43.117843, 1.742898
14, adaptive_fp, 9, 4, 4, False, -1, 75.848000, 66.469650, 61.654532, 0.965921
15, adaptive_fp, 9, 2, 6, False, -1, 0.058000, 0.000295, 0.000037, 6.982997
16, adaptive_fp, 9, 3, 5, False, -1, 60.080000, 48.057826, 43.241400, 1.738249
