num, numformat, bitwidth, exp_bits, mantissa_bits, quant_en, qbits, accuracy, top1conf, top2diff, ave_loss
1, fp_n, 16, 7, 8, False, -1, 76.146000, 66.737328, 61.892856, 0.961592
2, fp_n, 16, 3, 12, False, -1, 76.132000, 66.722322, 61.873132, 0.961473
3, fp_n, 16, 1, 14, False, -1, 1.020000, 0.010233, 0.000000, 4.741710
4, fp_n, 16, 2, 13, False, -1, 14.958000, 1.661628, 0.207199, 2.821719
5, fp_n, 8, 3, 4, False, -1, 75.508000, 65.798497, 60.902572, 0.973962
6, fp_n, 8, 1, 6, False, -1, 1.312000, 0.013848, 0.000000, 4.692564
7, fp_n, 8, 2, 5, False, -1, 18.930000, 2.429374, 0.418476, 2.693927
8, fp_n, 4, 1, 2, False, -1, 0.136000, 0.000387, 0.000000, 9.364769
9, fp_n, 4, 2, 1, False, -1, 0.138000, 0.000659, 0.000000, 11.293695
10, fp_n, 6, 2, 3, False, -1, 1.836000, 0.218349, 0.109134, 7.411589
11, fp_n, 6, 3, 2, False, -1, 58.614000, 40.512470, 35.540437, 1.730142
12, fp_n, 7, 3, 3, False, -1, 73.562000, 62.657490, 57.545554, 1.027285
13, fp_n, 7, 4, 2, False, -1, 70.596000, 61.329628, 56.558297, 1.123685
