num, numformat, bitwidth, exp_bits, mantissa_bits, quant_en, qbits, accuracy, top1conf, top2diff, ave_loss
1, adaptive_fp, 16, 7, 8, False, -1, 77.988000, 66.825753, 61.573457, 0.839805
2, adaptive_fp, 16, 3, 12, False, -1, 1.006000, 0.228052, 0.164806, 7.454274
3, adaptive_fp, 16, 5, 10, False, -1, 78.022000, 66.840886, 61.575825, 0.839795
4, adaptive_fp, 16, 4, 11, False, -1, 78.022000, 66.839951, 61.575881, 0.839799
5, adaptive_fp, 8, 3, 4, False, -1, 0.954000, 0.224251, 0.160078, 7.475716
6, adaptive_fp, 8, 5, 2, False, -1, 74.816000, 63.669103, 58.600766, 0.922750
7, adaptive_fp, 8, 6, 1, False, -1, 64.882000, 53.087581, 47.706782, 1.214278
8, adaptive_fp, 12, 5, 6, False, -1, 78.002000, 66.821782, 61.560796, 0.839941
9, adaptive_fp, 12, 2, 9, False, -1, 0.104000, 0.000568, 0.000027, 7.009568
10, adaptive_fp, 12, 3, 8, False, -1, 1.022000, 0.268654, 0.200931, 7.448899
11, adaptive_fp, 10, 4, 5, False, -1, 77.912000, 66.766747, 61.532829, 0.840960
12, adaptive_fp, 10, 2, 7, False, -1, 0.104000, 0.000567, 0.000027, 7.008172
13, adaptive_fp, 10, 3, 6, False, -1, 0.956000, 0.248040, 0.185065, 7.449312
14, adaptive_fp, 9, 4, 4, False, -1, 77.684000, 66.563079, 61.372888, 0.844504
15, adaptive_fp, 9, 2, 6, False, -1, 0.106000, 0.000580, 0.000024, 7.009726
16, adaptive_fp, 9, 3, 5, False, -1, 0.988000, 0.234443, 0.173320, 7.449295
